Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-1.059363e+00,-5.590209e-01
-1.055054e+00,-8.220057e-01
-1.054438e+00,-9.333296e-01
-1.053077e+00,-9.822525e-01
-1.055961e+00,-1.005904e+00
-1.060626e+00,-1.019965e+00
-1.058196e+00,-1.024242e+00
-1.056026e+00,-1.026153e+00
-1.055151e+00,-1.027741e+00
-1.057451e+00,-1.028745e+00
-1.058423e+00,-1.030074e+00
-1.055054e+00,-1.029134e+00
-1.055604e+00,-1.029944e+00
-1.057970e+00,-1.031499e+00
-1.056576e+00,-1.031532e+00
-1.055766e+00,-1.029977e+00
-1.054762e+00,-1.030268e+00
-1.059363e+00,-1.033605e+00
-1.055831e+00,-1.032083e+00
-1.054017e+00,-1.029458e+00
-1.059849e+00,-1.033800e+00
-1.056350e+00,-1.032439e+00
-1.049837e+00,-1.030041e+00
-1.061566e+00,-1.033962e+00
-1.054956e+00,-1.032342e+00
-1.055313e+00,-1.032277e+00
-1.060400e+00,-1.035711e+00
-1.051976e+00,-1.031661e+00
-1.056836e+00,-1.034318e+00
-1.056738e+00,-1.034286e+00
-1.051587e+00,-1.029782e+00
-1.058780e+00,-1.032342e+00
-1.053920e+00,-1.031564e+00
-1.059136e+00,-1.034189e+00
-1.058682e+00,-1.033638e+00
-1.054082e+00,-1.032342e+00
-1.060205e+00,-1.034998e+00
-1.055669e+00,-1.032439e+00
-1.059557e+00,-1.035096e+00
-1.057257e+00,-1.035160e+00
-1.055442e+00,-1.033929e+00
-1.059719e+00,-1.035938e+00
-1.053758e+00,-1.033476e+00
-1.058715e+00,-1.034901e+00
-1.056576e+00,-1.032471e+00
-1.059298e+00,-1.034383e+00
-1.056026e+00,-1.033217e+00
-1.059622e+00,-1.034837e+00
-1.058650e+00,-1.034804e+00
-1.060886e+00,-1.036942e+00
-1.053984e+00,-1.032536e+00
-1.056512e+00,-1.033346e+00
-1.056447e+00,-1.034739e+00
-1.050129e+00,-1.030527e+00
-1.062246e+00,-1.034966e+00
-1.053272e+00,-1.033411e+00
-1.054697e+00,-1.032147e+00
-1.058132e+00,-1.034545e+00
-1.058715e+00,-1.035970e+00
-1.053887e+00,-1.032795e+00
-1.056090e+00,-1.033411e+00
-1.062991e+00,-1.037817e+00
-1.055475e+00,-1.033411e+00
-1.054956e+00,-1.033832e+00
-1.060108e+00,-1.035841e+00
-1.062376e+00,-1.038595e+00
-1.053952e+00,-1.033476e+00
-1.052170e+00,-1.030625e+00
-1.056706e+00,-1.033152e+00
-1.060270e+00,-1.035906e+00
-1.058812e+00,-1.036942e+00
-1.057192e+00,-1.035452e+00
-1.051425e+00,-1.031921e+00
-1.054730e+00,-1.033379e+00
-1.057905e+00,-1.035841e+00
-1.057743e+00,-1.035614e+00
-1.058553e+00,-1.036586e+00
-1.058423e+00,-1.036618e+00
-1.057678e+00,-1.036683e+00
-1.058164e+00,-1.035387e+00
-1.060043e+00,-1.037266e+00
-1.058034e+00,-1.037364e+00
-1.057743e+00,-1.035776e+00
-1.053012e+00,-1.033962e+00
-1.052850e+00,-1.032083e+00
-1.049999e+00,-1.030689e+00
-1.044200e+00,-1.025700e+00
-1.044751e+00,-1.024177e+00
-1.043293e+00,-1.022590e+00
-1.044167e+00,-1.022136e+00
-1.040085e+00,-1.020937e+00
-1.041219e+00,-1.019965e+00
-1.039308e+00,-1.017859e+00
-1.038627e+00,-1.017211e+00
-1.044200e+00,-1.021132e+00
-1.044913e+00,-1.023497e+00
-1.047991e+00,-1.025214e+00
-1.054924e+00,-1.029685e+00
-1.056544e+00,-1.034221e+00
-1.065745e+00,-1.040312e+00
-1.055248e+00,-1.035517e+00
-1.052980e+00,-1.032828e+00
-1.048801e+00,-1.028389e+00
-1.044265e+00,-1.026089e+00
-1.057419e+00,-1.033994e+00
-1.062538e+00,-1.037007e+00
-1.066458e+00,-1.041640e+00
-1.062765e+00,-1.038822e+00
-1.049027e+00,-1.031759e+00
-1.050680e+00,-1.031402e+00
-1.058520e+00,-1.034610e+00
-1.063413e+00,-1.038919e+00
-1.056220e+00,-1.034253e+00
-1.049027e+00,-1.029879e+00
