Sound Lvl ch.0 (V),Sound Lvl ch.1 (V)
-8.807132e-01,-4.502242e-01
-8.774085e-01,-6.850217e-01
-8.815232e-01,-7.844226e-01
-8.860591e-01,-8.296844e-01
-9.030039e-01,-8.608201e-01
-9.259102e-01,-8.862859e-01
-9.489137e-01,-9.092894e-01
-9.707832e-01,-9.305109e-01
-9.769714e-01,-9.401335e-01
-9.634285e-01,-9.332972e-01
-9.364723e-01,-9.134689e-01
-8.985328e-01,-8.851519e-01
-8.857999e-01,-8.702158e-01
-9.027447e-01,-8.769873e-01
-9.346580e-01,-8.984680e-01
-9.524128e-01,-9.140520e-01
-9.344312e-01,-9.082202e-01
-9.029067e-01,-8.865127e-01
-8.949689e-01,-8.783481e-01
-9.248410e-01,-8.935109e-01
-9.520888e-01,-9.132097e-01
-9.330704e-01,-9.063734e-01
-8.892990e-01,-8.794172e-01
-8.997316e-01,-8.799356e-01
-9.468077e-01,-9.082202e-01
-9.383191e-01,-9.080582e-01
-8.908218e-01,-8.808752e-01
-9.148620e-01,-8.908218e-01
-9.635581e-01,-9.203699e-01
-9.170976e-01,-8.984680e-01
-8.888130e-01,-8.800976e-01
-9.547779e-01,-9.125293e-01
-9.274329e-01,-9.011247e-01
-8.868367e-01,-8.795468e-01
-9.574347e-01,-9.146676e-01
-9.122377e-01,-8.931869e-01
-9.047211e-01,-8.887806e-01
-9.604154e-01,-9.161904e-01
-8.853787e-01,-8.795792e-01
-9.418506e-01,-9.064058e-01
-9.180696e-01,-8.960705e-01
-9.131449e-01,-8.937053e-01
-9.367963e-01,-9.039111e-01
-9.069566e-01,-8.902062e-01
-9.356948e-01,-9.036195e-01
-9.130477e-01,-8.941265e-01
-9.343664e-01,-9.041703e-01
-9.139225e-01,-8.954225e-01
-9.320012e-01,-9.028419e-01
-9.185555e-01,-8.977552e-01
-9.251326e-01,-8.984032e-01
-9.259102e-01,-9.015135e-01
-9.191711e-01,-8.959085e-01
-9.338804e-01,-9.056282e-01
-9.059846e-01,-8.896878e-01
-9.394531e-01,-9.062438e-01
-9.110713e-01,-8.944181e-01
-9.323900e-01,-9.019671e-01
-9.250030e-01,-9.017403e-01
-9.156720e-01,-8.942885e-01
-9.332972e-01,-9.048183e-01
-9.158016e-01,-8.963297e-01
-9.251650e-01,-8.982088e-01
-9.323900e-01,-9.048507e-01
-9.154776e-01,-8.968156e-01
-9.295713e-01,-9.020643e-01
-9.246142e-01,-9.009303e-01
-9.203375e-01,-8.986300e-01
-9.318392e-01,-9.065030e-01
-9.239338e-01,-9.027771e-01
-9.158664e-01,-8.957789e-01
-9.227027e-01,-8.975932e-01
-9.316124e-01,-9.025503e-01
-9.225407e-01,-8.992132e-01
-9.146028e-01,-8.936729e-01
-9.248086e-01,-8.965888e-01
-9.320012e-01,-9.028743e-01
-9.308349e-01,-9.060494e-01
-9.212447e-01,-8.993104e-01
-9.156072e-01,-8.948717e-01
-9.178104e-01,-8.939969e-01
-9.245170e-01,-8.978200e-01
-9.350468e-01,-9.052070e-01
-9.360835e-01,-9.108121e-01
-9.312885e-01,-9.087386e-01
-9.222815e-01,-9.042999e-01
-9.160608e-01,-8.978524e-01
-9.120109e-01,-8.930573e-01
-9.112981e-01,-8.902062e-01
-9.144732e-01,-8.903358e-01
